"section_title","section_kind","question_code","prompt","question_type","category","trait","reverse","scale_min","scale_max","option_a","option_b","option_c","option_d","option_e","impacts_a","impacts_b","impacts_c","impacts_d","impacts_e"
"Cognitive Orientation","SCENARIO","Q1","Arjun, a Delivery Excellence head, discovers a disruptive, open-source AI model that could replace a core feature of his team's flagship service, a major revenue generator. What should Arjun do first?","SJT_SINGLE","Cognitive Orientation","","False","1","5","Immediately form a task force to assess the model's capabilities, limitations, and potential integration into the existing service, preparing a strategic options paper.","Dismiss it as hype; enterprise clients value stability and won't trust an unproven open-source solution.","Wait for a competitor to make the first move and then react to their strategy.","Task his team with building a similar, proprietary model to maintain their unique selling proposition, regardless of cost.","Consult with a few key clients to understand if this new model changes their expectations of the service.","","","","",""
"Cognitive Orientation","SCENARIO","Q2","Priya is asked to lead a cross-functional team to develop a new service line leveraging Quantum Machine Learning, an area where Wissen has no current expertise. To build a credible strategy, she should:","SJT_SINGLE","Cognitive Orientation","","False","1","5","Hire a few leading experts in the field and let them define the strategy.","Personally conduct a deep-dive learning program, mapping emerging academic research against potential client problems in Wissen's key industries (Banking, Energy, etc.).","Focus on building a partnership with a Quantum hardware startup to secure early access.","Propose a small, experimental ""skunkworks"" project to learn by doing, with a clear mandate to fail fast.","Delay any investment until the technology matures and has clear, proven business use cases.","","","","",""
"Cognitive Orientation","SCENARIO","Q3","Rajesh's team budget for the next fiscal year is 15% higher than finance's allocation, primarily due to investment in new AI-driven automation tools. To advocate for his budget, Rajesh should:","SJT_SINGLE","Cognitive Orientation","","False","1","5","Present a detailed business case with ROI projections, showing how the automation tools will reduce operational costs and free up talent for higher-value work over a 3-year horizon.","Focus the presentation on the risks of not investing, highlighting how competitors will gain an efficiency advantage.","Propose cutting the automation investment to meet the allocated budget.","Ask his team to re-forecast, hoping to find savings elsewhere to protect the automation investment.","Agree to the budget cut but plan to request additional funds mid-year, citing ""unforeseen needs.""","","","","",""
"Cognitive Orientation","SCENARIO","Q4","A major client tells Meera, a Senior VP, that her team's data analytics reports are too complex and not providing actionable insights. To solve this, Meera should:","SJT_SINGLE","Cognitive Orientation","","False","1","5","Ask the client for a list of specific questions they want answered and tailor the reports accordingly.","Conduct a workshop with the client's end-users to understand their workflow, decision-making process, and what ""actionable"" means to them.","Replace her lead data scientist with someone who has better client-facing communication skills.","Create a standardized, simplified dashboard template for all clients to ensure consistency.","Provide the client with raw data and a suite of self-service analytics tools, allowing them to find their own insights.","","","","",""
"Cognitive Orientation","SCENARIO","Q5","Vikram is reviewing two project proposals. Project A has a 90% probability of a $5M return. Project B has a 20% probability of a $50M return. Both require similar investment. Which project should Vikram champion and why?","SJT_SINGLE","Cognitive Orientation","","False","1","5","Project A, as the sure return is better for predictable growth and team morale.","Project B, as the potential for a massive breakthrough aligns with a high-risk, high-reward strategy for the disruptive era.","A portfolio of both, managing Project B as an exploratory ""venture"" while Project A funds the core business.","Neither; he should look for a project with a more balanced risk-reward profile.","He should let the team decide based on their passion and technical curiosity.","","","","",""
"Cognitive Orientation","SCENARIO","Q6","A new regulation (e.g., EU AI Act) threatens to make one of Anjali's top-selling software solutions non-compliant within 12 months. Her cognitive approach should be to:","SJT_SINGLE","Cognitive Orientation","","False","1","5","Immediately start a project to re-engineer the solution to be compliant, even if it means reducing features.","Wait for the final legal text and official guidance before taking any irreversible action.","Analyze the regulation to identify the core intent and explore multiple compliance pathways, including partnerships or acquisitions, while lobbying against the most onerous clauses.","Advise the sales team to accelerate sales to clients in unaffected regions before the deadline.","Plan a graceful exit from that market, focusing resources on regions with friendlier regulations.","","","","",""
"Cognitive Orientation","SCENARIO","Q7","To foster a ""continuous learning culture"" around AI within her marketing department, what is the most effective long-term strategy for Sunita?","SJT_SINGLE","Cognitive Orientation","","False","1","5","Mandate that all team members complete a specific online AI certification within the year.","Create a dedicated ""AI Innovation Time"" where teams can spend 10% of their hours on self-directed learning and pet projects.","Sponsor a few high-potential individuals to get advanced degrees, expecting them to cascade knowledge.","Host monthly guest lectures from academic and industry AI leaders.","Incentivize learning by tying it directly to annual performance bonuses.","","","","",""
"Cognitive Orientation","SCENARIO","Q8","The Head of Marketing, Karan, proposes a campaign that relies heavily on personalizing content using a new AI tool. The tool requires access to extensive customer data, raising potential privacy concerns. Karan's decision process should be to:","SJT_SINGLE","Cognitive Orientation","","False","1","5","Trust his own judgment; he knows the campaign goals best.","Approve the campaign but insist on a clear opt-out mechanism for customers.","Convene a meeting with Marketing, Legal, and Data Privacy leaders to map data usage against privacy principles and brand risk before making a decision.","Reject the campaign outright to avoid any potential privacy backlash.","Approve a small-scale A/B test to measure the campaign's effectiveness before evaluating the privacy trade-offs.","","","","",""
"Cognitive Orientation","SCENARIO","Q9","A VP of Engineering, David, notices that project teams in Engineering and Delivery Excellence are independently developing similar AI-based code testing tools. David sees this as:","SJT_SINGLE","Cognitive Orientation","","False","1","5","A healthy sign of innovation and initiative across teams.","An opportunity to form a cross-functional team to consolidate efforts and build a single, more powerful internal tool for the entire company.","A failure of leadership to provide clear strategic direction and shared roadmaps.","A reason to let both projects continue; competition will produce the best outcome.","An argument for outsourcing all internal tool development to a specialized vendor.","","","","",""
"Cognitive Orientation","SCENARIO","Q10","What is the primary heuristic (mental rule of thumb) that Suresh, a CFO, should use for making decisions in a highly ambiguous situation with incomplete data, like pivoting a financial strategy due to a new technology?","SJT_SINGLE","Cognitive Orientation","","False","1","5","""First move advantage is critical; speed of execution trumps perfect analysis.""","""Protect the core business; any new venture must not jeopardize our current revenue streams.""","""Decide based on our company values and long-term vision for client partnership.""","""Seek consensus from the most experienced leaders in the room.""","""Gather the best available data, frame the decision as a series of experiments, and adjust as we learn.""","","","","",""
"Cognitive Orientation","SCENARIO","Q11","A global service desk project led by Michael risks delay due to a vendor's failure to deliver dashboard software. What should Michael do first?","SJT_SINGLE","Cognitive Orientation","","False","1","5","Escalate to senior management for immediate resolution.","Update the risk register and assess impact on the project timeline.","Renegotiate the vendor contract to include penalties.","Assign additional team members to develop an in-house solution.","Pause the project until the vendor delivers.","","","","",""
"Cognitive Orientation","SCENARIO","Q12","A compliance audit project led by Neha exceeds budget by 15%. What is the best action for Neha?","SJT_SINGLE","Cognitive Orientation","","False","1","5","Absorb the overrun and proceed.","Perform a cost-benefit analysis for audit scope.","Request additional funding.","Reduce audit frequency.","Pause the audit.","","","","",""
"Cognitive Orientation","SCENARIO","Q13","An app development project led by Kevin is behind schedule due to integration testing failures. The client expects delivery in four weeks. How should Kevin recover the schedule?","SJT_SINGLE","Cognitive Orientation","","False","1","5","Crash the schedule by adding resources.","Rebaseline the schedule with a critical path analysis and stakeholder approval.","Fast-track remaining tasks, risking quality.","Reduce testing scope to meet the deadline.","Proceed, expecting team overtime to recover.","","","","",""
"Cognitive Orientation","SCENARIO","Q14","A data science team led by Divya faces risks from unstable APIs. The client expects a risk-free deployment. How should Divya assess these risks?","SJT_SINGLE","Cognitive Orientation","","False","1","5","Rely on team experience to evaluate risks.","Conduct a risk assessment with a probability-impact matrix.","Ignore risks unless APIs fail.","Outsource risk analysis to a vendor.","Escalate to the client for guidance.","","","","",""
"Cognitive Orientation","SCENARIO","Q15","An app development project led by Amir needs serverless computing expertise, unavailable internally. The project is time-sensitive. How should Amir address this?","SJT_SINGLE","Cognitive Orientation","","False","1","5","Hire a serverless computing expert.","Implement a learning program with hands-on serverless labs for the existing team.","Assign tasks to skilled members only.","Outsource the migration.","Ignore until post-project training.","","","","",""
"Personality Orientation","SCENARIO","Q16","During a critical team meeting led by Rahul, a senior colleague interrupts and takes credit for a brilliant idea presented by a quiet, junior team member. How should Rahul immediately respond?","SJT_SINGLE","Personality Orientation","","False","1","5","Publicly redirect credit: ""Apologies for the interruption, [Junior's Name], you were making a fascinating point about [the idea]. Could you please elaborate further?""","Privately speak to the senior colleague after the meeting to express his disappointment.","Do nothing in the moment, but later suggest to the junior team member that they should be more assertive.","Send a follow-up email to the team summarizing the meeting and explicitly crediting the junior member for the idea.","Make a mental note; this is an internal team dynamic issue that will likely sort itself out.","","","","",""
"Personality Orientation","SCENARIO","Q17","Lakshmi is hiring for a senior leadership role in her finance team. Two candidates are equally qualified on paper. One is from a traditional corporate background; the other has a diverse career path including startups and non-profits. Lakshmi's approach should be:","SJT_SINGLE","Personality Orientation","","False","1","5","Focus exclusively on their ability to deliver against the specific KPIs of the role.","Lean towards the traditional candidate, as they seem like a safer, more predictable fit for the team.","Value the diverse perspective of the second candidate, believing it will foster innovation and challenge groupthink in the leadership team.","Create a detailed case study for both to solve, allowing her to compare their problem-solving approaches side-by-side.","Involve multiple team members from different departments in the final interview panel to get a variety of perspectives on cultural fit.","","","","",""
"Personality Orientation","SCENARIO","Q18","Anita's project team is feeling burned out after a sustained period of high-intensity work to launch a major product. Morale is dipping. How should Anita address this?","SJT_SINGLE","Personality Orientation","","False","1","5","Acknowledge their hard work and stress, then facilitate a team meeting to collectively re-prioritize tasks and explore flexible work options for the coming weeks.","Offer a team bonus for completing the next milestone.","Host a team dinner and share a motivating speech about the importance of their work.","Bring in a professional to run a resilience and stress-management workshop.","Remind them of the consequences of missing upcoming deadlines to refocus their efforts.","","","","",""
"Personality Orientation","SCENARIO","Q19","A colleague from another department makes a joke during a cross-functional meeting chaired by Arvind. Arvind finds it subtly offensive towards a minority group. The room falls silent. Arvind should:","SJT_SINGLE","Personality Orientation","","False","1","5","Say calmly, ""I'm not sure that landed as intended. Let's refocus on the agenda."" Later, he speaks to them privately to explain why the joke was problematic.","Laugh awkwardly to ease the tension and quickly move the meeting along.","Ignore it, but report the incident to HR after the meeting.","Publicly state, ""That kind of humor isn't appropriate here.""","Make eye contact with the person who made the joke and subtly shake his head.","","","","",""
"Personality Orientation","SCENARIO","Q20","A high-performing member of Priyanka's HR team, a single parent, asks about flexible working arrangements to manage school pick-ups. Company policy doesn't explicitly forbid it, but it's not the norm. Priyanka should:","SJT_SINGLE","Personality Orientation","","False","1","5","Agree to a trial period with clear deliverables and communication protocols to see if it works for everyone.","Deny the request, citing the need for the team to be fully available during core business hours.","Suggest they speak to HR about the formal flexible working request process.","Agree, but ask them to keep it discreet so it doesn't set a precedent.","Counter-offer with a later start and end time that still covers core hours, as a compromise.","","","","",""
"Personality Orientation","SCENARIO","Q21","The marketing team's campaign idea, led by Vivek, is shot down by senior leadership during a review meeting. Back in the team area, Vivek can see they are deflated. His immediate reaction is to:","SJT_SINGLE","Personality Orientation","","False","1","5","Close the door and give them a candid, motivating talk about why leadership is wrong and they'll prove it next time.","Gather the team to honestly debrief the feedback, separate what was valid from what was misunderstood, and create an action plan to address concerns for a future proposal.","Tell them not to worry and that he'll handle future communications with leadership.","Send a calming email acknowledging the disappointment and reminding them of their past successes.","Say nothing and let them process it; they're professionals and will move on.","","","","",""
"Personality Orientation","SCENARIO","Q22","Deepa, a senior director, discovers that a new, extremely rigid company policy is demotivating her creative team and stifling their work. She disagrees with it. How should Deepa lead her team?","SJT_SINGLE","Personality Orientation","","False","1","5","Clearly explain the policy and the rationale behind it, but openly work with the team to find creative ""workarounds"" that adhere to the letter but not the spirit of the rule.","Express her personal frustration with the policy, creating a ""us vs. them"" dynamic with senior management to build team camaraderie.","Acknowledge their frustration, explain the policy, and empower them to help her draft a formal request to leadership for an exemption, backed by evidence of its impact on their work.","Tell them to comply for now, as she is advocating for a change through official channels.","Shield them from the policy by not telling them about it and finding ways to absorb the administrative burden herself.","","","","",""
"Personality Orientation","SCENARIO","Q23","A new employee from a different cultural background is struggling to adapt to Manoj's team's very direct and fast-paced communication style. To facilitate their integration, Manoj should:","SJT_SINGLE","Personality Orientation","","False","1","5","Privately advise the new employee on the nuances of the team's communication norms and how best to navigate them.","Ask the team to be more mindful and patient in their interactions.","Pair them with a mentor who can provide one-on-one support and decode unspoken team dynamics.","Encourage the team to slow down and adopt a more inclusive communication style, perhaps by having a team discussion about communication preferences.","Encourage the new employee to simply adapt; it's important for their career growth.","","","","",""
"Personality Orientation","SCENARIO","Q24","To build a truly inclusive environment, what should be Kavita's primary focus as a leader?","SJT_SINGLE","Personality Orientation","","False","1","5","Ensuring all company-mandated diversity training is completed by her team.","Actively seeking and valuing diverse perspectives in every major decision, and ensuring all voices are heard in meetings.","Focusing on meritocracy; the best ideas and people will naturally rise to the top regardless of background.","Mentoring individuals from underrepresented groups within her department.","Celebrating different cultural holidays and events as a team.","","","","",""
"Personality Orientation","SCENARIO","Q25","When communicating a major, potentially unwelcome organizational change (e.g., a restructuring) to his team, what is Rohan's primary goal?","SJT_SINGLE","Personality Orientation","","False","1","5","To deliver the message with clarity and empathy, then provide a safe space for them to ask questions and express their feelings.","To frame the change positively and focus on the opportunities it will create.","To explain the business rationale clearly so they understand why it's necessary.","To deliver the message efficiently and then give them space to process it on their own.","To reassure them that their jobs are safe and that he will personally look out for them.","","","","",""
"Personality Orientation","SCENARIO","Q26","Two developers, Sanjay and Meera, disagree on prioritizing a UI feature vs. backend optimization for a client app, causing sprint delays. The client is pressing for delivery. How should their manager, Fatima, resolve this?","SJT_SINGLE","Personality Orientation","","False","1","5","Enforce a decision based on the project timeline.","Facilitate a workshop to align on client priorities and technical trade-offs.","Reassign one developer to another task to avoid conflict.","Allow them to resolve it independently, risking further delays.","Escalate to the technical lead for a decision.","","","","",""
"Personality Orientation","SCENARIO","Q27","Vikram, a key AI-ML engineer, receives a competitor's offer with a higher salary and a leadership role. His manager, Sana, relies on his expertise, but budget constraints limit raises. How should Sana retain him?","SJT_SINGLE","Personality Orientation","","False","1","5","Match the competitor's salary to keep him.","Discuss his career goals and offer a tailored leadership path within the project.","Assign him to a high-visibility project to boost his profile.","Ignore the offer, expecting loyalty to Wissen.","Reduce his workload to ease stress.","","","","",""
"Personality Orientation","SCENARIO","Q28","A client demands a new compliance dashboard in six weeks, but Ravi's team's Gantt chart estimates ten weeks due to regulatory checks. The client threatens to escalate. How should Ravi handle this pushback?","SJT_SINGLE","Personality Orientation","","False","1","5","Agree to the six-week deadline and crash the schedule.","Present a Gantt chart with a risk analysis to negotiate a realistic timeline.","Reduce scope to meet the six-week deadline, risking quality.","Delegate negotiations to the project manager without data.","Delay response until the client escalates.","","","","",""
"Personality Orientation","SCENARIO","Q30","A banking app project is on track, but the client is anxious due to past vendor delays. They request weekly updates, but Preeti's team is focused on coding. How should Preeti ensure effective communication?","SJT_SINGLE","Personality Orientation","","False","1","5","Provide detailed technical reports weekly.","Create a simplified dashboard with key metrics and biweekly calls.","Delegate updates to a junior member to save time.","Offer a discount to ease concerns without updates.","Provide updates only when milestones are met.","","","","",""
"Response Orientation","SCENARIO","Q31","A critical security vulnerability is discovered in a client-facing application built by Sanjay's team. The client is not yet aware, but there is a risk of a data breach. Sanjay's immediate response should be to:","SJT_SINGLE","Response Orientation","","False","1","5","Calmly assemble a tiger team to assess the vulnerability, develop a patch, and create a communication plan for the client, all before any public disclosure.","Immediately take the application offline to contain the risk, then notify the client.","Notify the client immediately and ask for guidance on how they would like him to proceed.","Work quietly to patch the vulnerability, hoping to fix it before anyone notices or exploits it.","Escalate the issue to senior leadership and legal, and await their instructions.","","","","",""
"Response Orientation","SCENARIO","Q32","A key project led by Pooja is failing. The team is exhausted, the client is angry, and the budget is blown. How should Pooja respond?","SJT_SINGLE","Response Orientation","","False","1","5","Take full ownership of the failure with the client and her leadership, then work transparently with the team to conduct a blameless post-mortem and build a realistic recovery plan.","Identify the specific points of failure and the individuals responsible to hold them accountable.","Work around the clock with the team to try and salvage the project, promising the client a free remedial phase.","Request that a more experienced leader be brought in to take over the project turnaround.","Calmly explain to the client and leadership that the project's initial scope was unrealistic given the constraints.","","","","",""
"Response Orientation","SCENARIO","Q33","Tarun is in a meeting with a long-standing, valuable client. They are furious about a recent service outage and are threatening to take their business elsewhere. Tarun's immediate reaction should be to:","SJT_SINGLE","Response Orientation","","False","1","5","Listen attentively without interrupting, acknowledge their frustration and the impact on their business, and commit to a full investigation and action plan within 24 hours.","Calmly explain the technical reasons for the outage to reassure them it was an isolated incident.","Apologize profusely and offer a significant discount on their next invoice.","Assure them that he has already implemented a fix and that it will never happen again.","Suggest they speak to his manager or someone in client relations.","","","","",""
"Response Orientation","SCENARIO","Q34","A vendor with whom Nisha has a close personal friendship offers her a significant gift (e.g., tickets to a major sports final) just before their company is due to re-bid for a contract with Wissen. Company policy is ambiguous. Nisha should:","SJT_SINGLE","Response Orientation","","False","1","5","Accept the gift but declare it to the ethics committee, recusing herself from the vendor selection process.","Politely decline the gift, explaining that it could be perceived as a conflict of interest.","Accept the gift; her friendship is separate from business and she can remain objective.","Accept the gift but not tell anyone, to avoid awkward questions.","Suggest the vendor donate the value of the tickets to a charity instead.","","","","",""
"Response Orientation","SCENARIO","Q35","Alok witnesses a senior leader making a decision that he believes is unethical, though not explicitly illegal. It could save the company money but harms a group of low-level employees. How should Alok respond?","SJT_SINGLE","Response Orientation","","False","1","5","Schedule a private meeting with the leader to respectfully share his concerns and the potential impact on employee morale and company reputation.","Do nothing; it's not his place to challenge senior leadership.","Anonymously report his concerns to the company's ethics hotline or HR.","Discuss it with trusted colleagues to see if they share his concern, building a coalition.","Focus on mitigating the impact on the affected employees within his own sphere of influence.","","","","",""
"Response Orientation","SCENARIO","Q36","During a tense negotiation, the client's representative makes a personal and unfair attack on the competence of Geeta's team. Geeta's response should be to:","SJT_SINGLE","Response Orientation","","False","1","5","Calmly but firmly state, ""I'm surprised to hear that, as it doesn't align with the data we've shared. Let's focus on the facts to move this forward.""","Defend her team passionately, listing their qualifications and past successes.","Ask for a short break to let emotions settle before continuing the discussion.","Respond in kind to show strength and that she won't be intimidated.","Ignore the comment and continue with her presentation.","","","","",""
"Response Orientation","SCENARIO","Q37","A major project Anil is leading is behind schedule. His manager, under pressure from above, tells him to instruct his team to work 12-hour days and weekends to catch up. Anil knows the team is already burnt out. Anil should:","SJT_SINGLE","Response Orientation","","False","1","5","Comply with his manager's directive, as he must be a team player and deliver for the company.","Push back to his manager, presenting a revised schedule based on a sustainable pace and explaining the risks of burnout and quality loss.","Tell his team about the pressure from above and let them volunteer for the extra hours.","Work the extra hours himself, shielding the team as much as possible.","Promise his manager he'll get it done, but don't actually enforce the extra hours on his team.","","","","",""
"Response Orientation","SCENARIO","Q38","A brilliant but abrasive senior team member, who is critical to Smita's most important project, has just berated a junior colleague in front of others, causing the junior to cry. How should Smita react?","SJT_SINGLE","Response Orientation","","False","1","5","In the moment, calmly ask the senior team member to join her for a private discussion, where she addresses the behavior's unacceptability and mandates an apology.","Comfort the junior colleague first, then later have a formal, documented performance conversation with the senior team member about their conduct.","Ignore it for now, but address it in the senior member's upcoming performance review.","Publicly reprimand the senior team member for their behavior.","Speak to the junior colleague privately, advising them on how to handle such situations in the future.","","","","",""
"Response Orientation","SCENARIO","Q39","The HR department, led by Asif, is asked to make a 10% budget cut with immediate effect. Asif's initial reaction should be to:","SJT_SINGLE","Response Orientation","","False","1","5","Panic and ask his team leads for a list of essential and non-essential expenses by the end of the day.","Remain composed and communicate the challenge to his team, tasking them with identifying creative ways to achieve the cut while protecting their strategic capabilities.","Immediately identify the lowest-performing 10% of his team and begin planning for layoffs.","Request a meeting with his manager to negotiate the cut, arguing its impact on key projects.","Freeze all discretionary spending and hiring, buying time to formulate a more strategic response.","","","","",""
"Response Orientation","SCENARIO","Q40","A year later, Rajiv realizes he made a significant strategic error six months ago that has cost the company money and wasted team effort. In a review meeting with his own leader, Rajiv should:","SJT_SINGLE","Response Orientation","","False","1","5","Own up to the mistake immediately, explain what he's learned, and present the corrective actions he's already put in place.","Explain the market conditions and other factors that contributed to the error.","Present the data on the error, but focus his report on the path forward.","Hope that the error is attributed to the general challenges of the business environment.","Subtly shift context to show that while the direct outcome was a loss, it has opened up other unexpected opportunities.","","","","",""
"Response Orientation","SCENARIO","Q41","A compliance system led by Kiran fails an external audit due to data discrepancies. The client is concerned about penalties. What is the first step for Kiran?","SJT_SINGLE","Response Orientation","","False","1","5","Implement a quick data fix.","Conduct a root cause analysis with a fishbone diagram.","Retrain the team on data handling.","Notify the client of the issue.","Switch to a new data system.","","","","",""
"Response Orientation","SCENARIO","Q42","An AI platform led by Imran experiences intermittent outages, unnoticed until clients complain. The client demands proactive monitoring. How should Imran address this?","SJT_SINGLE","Response Orientation","","False","1","5","Rely on manual monitoring checks.","Implement automated monitoring with tools like Prometheus.","Delegate to the operations team.","Monitor only critical components.","Ignore unless outages increase.","","","","",""
"Response Orientation","SCENARIO","Q43","A complex encryption issue delays Farah's compliance system. An external expert offers a solution but charges a premium. How should Farah proceed?","SJT_SINGLE","Response Orientation","","False","1","5","Solve internally to save costs.","Engage the expert for targeted consultation.","Delegate to the team to research solutions.","Ignore unless the issue escalates.","Hire the expert permanently.","","","","",""
